Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
27,746,"1,028.31","1,417.44","1,953.25","2,684.62","3,659.51","4,997.73","6,754.53","8,982.51","11,898.26","15,291.45","19,002.92","23,108.62","27,009.25","29,594.56","32,254.35","32,416.49","32,170.69","32,531.73","32,446.97","32,506.03","32,013.40","32,592.99","32,912.74","33,603.50","33,215.64","33,866.08","33,178.37","34,214.93","34,936.98","35,871.46"
28,746,"1,029.35","1,420.33","1,953.81","2,676.66","3,663.51","4,993.50","6,772.51","9,111.60","11,926.03","15,671.46","19,397.34","23,570.55","27,201.32","30,990.34","33,120.70","35,600.81","37,371.83","36,796.76","37,747.47","35,419.57","33,747.29","32,199.34","31,230.22","30,814.78","30,738.02","30,846.25","30,276.10","31,005.66","30,725.84","30,683.07"
29,746,"1,029.48","1,420.67","1,954.34","2,680.36","3,663.98","5,005.85","6,777.87","9,149.38","11,976.40","15,701.26","19,216.75","23,454.49","27,462.77","31,689.85","34,800.61","35,954.98","37,231.30","36,897.96","37,421.93","37,923.90","38,282.32","36,434.47","35,292.85","33,989.99","33,486.37","33,932.11","34,745.50","34,735.75","35,994.33","35,163.55"
30,746,"1,027.28","1,414.62","1,948.53","2,664.40","3,645.96","4,968.92","6,690.33","8,988.66","12,014.97","15,498.75","19,989.76","23,703.66","28,168.35","31,410.95","32,581.35","34,121.80","32,872.01","34,076.26","34,461.85","33,623.25","34,129.21","33,976.84","32,505.50","32,925.14","31,404.09","31,848.99","31,789.65","31,381.26","32,549.39","32,340.75"
31,746,"1,029.14","1,419.75","1,952.28","2,683.02","3,664.80","5,005.36","6,808.16","9,058.89","11,994.34","15,221.08","19,207.19","23,128.98","27,075.25","30,814.17","31,639.82","32,904.66","32,538.29","33,150.42","32,426.96","32,768.88","31,409.46","32,193.03","31,178.42","32,762.89","32,780.70","33,923.27","35,037.30","34,684.08","34,934.84","33,978.83"
32,746,"1,028.31","1,417.45","1,948.51","2,679.71","3,663.09","5,005.86","6,782.79","9,040.21","11,883.38","15,433.24","18,937.50","23,052.77","26,268.63","29,497.79","31,882.31","34,037.82","35,371.33","34,393.68","34,162.46","33,535.13","32,162.20","32,245.07","32,117.90","31,018.38","31,931.84","31,115.99","31,568.65","31,871.98","31,254.64","30,648.01"
33,746,"1,028.31","1,417.45","1,948.51","2,679.71","3,663.09","5,005.86","6,782.79","9,040.21","11,883.38","15,433.24","18,937.50","23,052.77","26,268.63","29,497.79","31,882.31","34,037.82","35,371.33","34,393.68","34,162.46","33,535.13","32,162.20","32,245.07","32,117.90","31,018.38","31,931.84","31,115.99","31,568.65","31,871.98","31,254.64","30,648.01"
34,746,"1,029.56","1,420.91","1,958.10","2,692.12","3,677.44","5,022.10","6,784.08","9,150.82","12,174.81","15,860.39","19,848.69","23,883.39","27,360.87","29,799.18","30,932.78","31,450.16","30,979.42","31,734.64","32,609.42","34,064.42","35,013.07","34,725.18","34,562.77","33,123.26","33,419.90","32,977.48","32,298.92","31,941.13","32,187.62","31,659.11"
35,746,"1,026.96","1,413.74","1,946.41","2,673.81","3,651.71","4,970.61","6,743.43","9,035.43","12,060.58","15,653.55","19,438.01","23,356.19","26,193.28","29,124.17","31,640.81","32,852.98","34,383.92","35,492.70","35,137.89","34,285.01","34,431.67","32,179.01","32,144.42","31,345.33","31,678.46","31,577.67","31,843.46","32,435.78","33,227.53","33,074.22"
36,746,"1,028.82","1,418.85","1,954.76","2,687.04","3,680.62","5,010.16","6,770.33","9,062.50","12,101.84","15,614.14","19,441.77","23,188.15","26,192.00","29,323.99","30,594.61","33,086.72","33,937.74","35,715.35","36,940.81","37,329.24","36,911.61","35,425.38","34,075.52","33,704.79","33,496.11","33,966.21","35,135.28","35,536.93","36,990.75","35,818.51"
