Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
472,746,"1,026.57","1,412.67","1,942.20","2,668.17","3,655.03","4,959.36","6,711.84","8,931.24","11,815.76","15,288.76","19,214.77","23,533.27","27,974.76","31,622.59","34,596.65","37,605.50","37,527.72","37,278.50","36,220.87","35,124.39","34,682.67","33,353.99","33,235.46","31,615.92","31,422.64","31,369.74","31,673.76","31,966.14","32,918.37","33,857.29"
473,746,"1,028.10","1,416.87","1,951.61","2,681.85","3,665.57","5,005.87","6,796.86","9,137.63","12,093.87","16,015.26","20,124.27","24,188.95","28,385.78","31,294.04","33,294.80","33,734.94","34,737.84","33,929.51","34,622.81","33,502.11","34,107.83","32,814.15","33,117.04","32,510.25","31,547.09","31,784.58","32,008.91","32,921.49","34,039.03","34,661.19"
474,746,"1,029.51","1,420.76","1,956.95","2,688.97","3,685.74","5,007.85","6,761.11","9,061.18","11,902.35","15,600.38","19,319.37","23,233.07","27,611.00","29,964.80","33,002.45","34,078.96","33,896.76","34,396.90","33,820.33","34,244.72","34,042.00","33,722.68","33,571.10","32,713.40","32,495.57","32,290.21","32,213.30","31,730.28","31,776.67","30,523.54"
475,746,"1,028.00","1,416.59","1,951.59","2,676.87","3,643.55","4,978.08","6,711.00","9,006.26","12,063.47","15,775.30","19,731.62","23,555.48","26,025.03","28,228.79","30,624.94","31,555.09","34,046.29","33,453.01","33,536.45","33,527.07","32,561.30","31,752.16","30,897.03","30,792.91","31,361.52","31,183.11","33,086.75","31,751.80","33,190.45","32,234.76"
476,746,"1,028.29","1,417.41","1,952.51","2,680.98","3,671.91","5,017.57","6,785.85","9,131.05","12,176.15","15,986.48","20,018.75","24,462.50","27,447.53","30,185.28","31,812.98","32,700.64","34,098.22","34,027.06","34,903.77","34,861.47","35,543.21","34,598.59","35,028.37","33,245.94","32,057.33","30,880.54","29,507.82","29,788.03","30,196.09","30,015.39"
477,746,"1,029.39","1,420.44","1,954.04","2,676.52","3,650.43","4,964.53","6,705.85","8,978.96","11,902.03","15,553.57","19,395.40","23,262.98","26,650.81","29,075.94","31,510.94","32,971.76","34,558.95","35,868.59","36,150.76","37,253.98","36,815.61","35,952.61","34,710.90","32,914.08","31,284.79","30,676.06","30,014.24","30,933.62","32,058.47","33,631.24"
478,746,"1,027.03","1,413.93","1,947.89","2,677.16","3,648.19","4,982.77","6,771.71","9,006.16","11,950.31","15,069.88","18,573.65","21,410.02","24,101.63","26,563.74","29,044.85","31,864.89","34,041.63","35,010.21","34,583.96","34,146.26","33,799.23","34,355.99","33,919.88","33,320.71","32,514.81","32,379.95","32,889.94","33,080.33","34,541.09","33,493.95"
479,746,"1,029.01","1,419.40","1,953.64","2,682.93","3,667.33","4,980.37","6,760.42","9,105.07","12,182.83","16,016.04","20,433.34","24,349.10","27,237.95","30,089.51","30,306.17","32,166.76","31,699.30","32,235.03","33,103.28","32,553.02","32,716.67","31,828.58","30,518.63","30,934.21","30,248.10","29,911.91","30,437.22","30,611.20","30,809.14","31,940.00"
480,746,"1,028.23","1,417.23","1,952.00","2,677.17","3,645.55","4,952.08","6,659.03","8,944.64","11,843.51","15,460.09","19,477.46","23,402.48","27,804.56","31,462.33","34,796.70","36,694.77","37,564.40","36,053.53","35,491.44","33,133.04","32,643.03","31,411.80","30,643.54","29,417.76","29,863.20","30,183.49","31,957.92","32,890.01","33,571.60","33,765.77"
481,746,"1,026.78","1,413.24","1,946.07","2,675.83","3,641.42","4,963.35","6,743.56","9,080.74","12,007.35","15,888.45","19,947.69","24,626.21","28,670.84","32,203.48","34,970.39","36,743.78","36,852.03","36,297.88","35,420.52","33,247.64","32,880.35","31,451.87","30,175.67","29,299.96","29,449.04","29,021.29","30,433.95","30,923.12","31,661.66","32,195.67"
482,746,"1,027.97","1,416.51","1,945.25","2,674.06","3,641.89","4,977.60","6,757.33","8,974.39","12,006.71","15,354.52","19,529.55","23,970.60","27,345.45","30,305.90","32,768.01","34,424.63","36,196.23","36,809.09","36,838.70","37,090.62","35,742.43","35,484.89","34,611.75","34,445.48","34,254.74","33,101.11","31,745.75","30,025.82","29,996.83","30,424.01"
483,746,"1,028.60","1,418.26","1,948.63","2,670.59","3,658.94","4,983.06","6,760.51","9,047.28","12,089.60","15,687.00","19,876.21","24,238.74","27,825.96","30,625.20","33,233.31","33,918.48","34,658.74","34,874.32","34,367.34","32,785.06","32,983.89","32,157.26","33,200.59","33,055.70","33,337.84","33,377.05","33,879.01","33,420.49","33,237.87","32,388.34"
484,746,"1,027.94","1,416.43","1,947.28","2,670.02","3,634.54","4,920.53","6,639.88","8,855.65","11,853.65","15,253.20","19,131.48","22,518.49","24,991.30","26,183.05","28,171.05","29,013.19","30,967.89","32,438.39","32,188.19","32,245.63","32,294.37","31,941.48","32,697.56","32,233.86","32,723.09","32,609.40","33,748.48","32,768.89","32,133.44","31,452.34"
485,746,"1,028.92","1,419.13","1,955.70","2,678.62","3,663.70","4,996.10","6,750.90","9,112.58","11,962.37","15,412.05","19,013.83","22,314.02","26,471.40","28,903.46","31,356.01","31,621.27","31,946.74","32,765.55","32,674.93","34,408.82","33,217.55","34,346.05","34,286.57","33,636.20","33,860.38","32,043.77","31,785.61","31,741.13","31,387.95","32,470.73"
486,746,"1,027.67","1,415.70","1,949.33","2,673.35","3,649.23","4,963.00","6,745.78","9,052.44","11,958.25","15,699.73","19,664.57","23,334.91","27,161.64","29,486.14","31,295.19","32,672.21","32,658.62","33,159.94","32,445.65","32,762.65","32,616.99","33,333.90","32,557.44","33,261.57","33,346.80","33,918.04","33,801.03","33,305.20","32,970.77","32,190.64"
487,746,"1,029.12","1,419.70","1,953.91","2,675.59","3,666.54","4,959.24","6,655.70","8,989.42","11,778.32","15,183.74","18,862.41","21,519.18","25,126.69","27,641.88","29,689.03","31,910.77","33,606.41","33,268.71","34,609.17","33,757.97","33,684.32","33,632.93","32,650.76","32,751.69","32,139.21","31,760.10","32,334.39","31,586.68","31,263.98","29,993.26"
488,746,"1,029.57","1,420.93","1,956.83","2,689.71","3,687.84","5,031.03","6,794.51","9,171.75","12,206.78","16,076.29","19,990.53","23,787.89","27,418.64","29,045.85","32,332.23","32,245.97","32,161.09","31,026.15","29,289.80","28,348.37","28,511.15","28,549.15","29,006.95","29,579.98","29,583.81","29,226.19","29,848.09","30,311.50","30,833.67","31,423.07"
489,746,"1,026.44","1,412.32","1,941.27","2,669.60","3,657.79","4,988.90","6,757.08","9,074.07","11,951.70","15,716.76","19,252.92","23,557.14","26,305.94","29,225.19","29,746.15","31,665.81","32,479.47","33,862.27","34,988.93","35,675.42","35,740.88","34,288.48","34,402.20","33,441.59","32,185.83","31,986.54","31,812.23","31,213.22","30,808.90","30,723.41"
490,746,"1,028.44","1,417.82","1,951.78","2,676.25","3,651.51","4,982.29","6,703.15","8,952.37","11,946.70","15,584.76","19,666.40","24,351.54","27,628.17","31,152.55","33,355.70","33,747.13","33,763.64","32,508.96","31,846.23","30,716.08","29,656.75","29,439.94","28,228.40","29,253.18","28,690.06","30,439.99","31,503.87","33,501.46","34,573.50","35,622.50"
491,746,"1,028.28","1,417.38","1,952.80","2,684.14","3,653.19","4,949.53","6,729.10","9,049.55","11,861.52","15,707.96","18,976.63","23,564.91","25,994.86","28,508.90","29,243.48","30,088.19","31,371.32","32,760.08","33,292.49","33,279.29","32,566.05","31,907.91","31,570.54","32,077.79","31,696.82","32,424.25","31,694.94","32,285.75","32,292.90","33,570.47"
492,746,"1,029.10","1,419.63","1,948.57","2,679.31","3,674.96","5,018.71","6,756.03","9,034.65","11,949.74","15,163.33","18,512.75","21,937.81","24,680.00","27,661.00","30,488.25","32,193.48","33,396.95","34,729.75","33,156.08","33,473.79","32,730.96","33,513.35","34,112.52","33,362.28","32,714.27","31,564.00","31,500.05","31,594.37","32,929.08","33,140.35"
493,746,"1,029.24","1,420.01","1,952.99","2,680.58","3,674.12","4,985.53","6,769.14","9,123.60","12,227.41","16,036.54","20,611.27","24,170.53","27,814.85","29,955.92","32,389.69","33,964.57","35,874.32","36,729.76","36,053.86","36,138.74","35,803.08","36,361.02","36,877.27","36,897.88","36,767.67","36,159.92","35,928.04","35,423.96","35,155.06","33,977.60"
494,746,"1,029.53","1,420.83","1,957.92","2,690.75","3,690.84","5,009.08","6,781.14","9,151.07","12,227.39","15,778.90","20,044.38","23,721.94","27,114.44","30,167.25","32,894.27","34,890.15","35,927.03","37,325.43","37,172.19","37,207.07","36,059.31","34,819.17","33,948.38","32,094.57","32,644.48","30,943.23","30,535.17","30,935.36","31,241.30","32,593.59"
495,746,"1,027.45","1,415.08","1,944.23","2,663.81","3,647.96","4,955.11","6,714.55","9,026.29","11,921.00","15,778.47","19,369.21","23,527.54","27,304.59","30,604.53","32,802.38","35,552.96","36,453.97","38,141.52","37,159.82","37,658.27","36,479.99","34,477.80","33,764.78","32,379.88","32,528.18","32,855.54","32,579.38","32,424.84","31,597.64","30,193.82"
496,746,"1,027.15","1,414.27","1,947.21","2,673.42","3,644.59","4,974.44","6,671.14","8,863.90","11,820.32","15,251.31","19,395.38","23,267.00","26,460.21","27,758.91","29,315.46","29,033.65","29,298.93","30,139.55","30,128.19","32,188.15","32,807.67","34,618.85","34,848.65","36,098.38","35,569.07","34,500.29","33,913.26","33,132.69","32,301.73","32,488.60"
497,746,"1,027.56","1,415.39","1,948.12","2,674.63","3,658.29","4,980.24","6,711.17","9,000.83","11,842.97","15,338.35","19,090.68","22,212.40","26,463.69","28,344.50","30,620.20","32,564.51","33,689.20","33,746.84","34,785.59","33,155.61","32,270.47","30,552.89","30,437.18","29,758.54","30,355.04","31,390.76","31,192.83","31,455.65","31,655.28","30,526.58"
498,746,"1,027.84","1,416.15","1,943.56","2,670.32","3,639.38","4,927.93","6,662.93","8,917.10","11,725.92","15,390.49","18,735.29","23,225.73","26,933.39","30,256.85","33,660.84","36,100.27","37,650.40","39,270.90","38,557.02","36,588.03","33,824.98","31,772.67","29,257.18","28,290.97","27,922.13","28,518.66","29,623.87","31,732.54","32,698.98","34,604.90"
499,746,"1,028.83","1,418.89","1,954.28","2,681.89","3,672.93","4,991.99","6,695.06","9,040.28","11,907.32","15,574.31","19,611.49","23,644.24","27,566.44","31,231.09","32,778.25","33,156.88","34,259.43","32,524.48","31,801.55","31,597.92","31,337.62","32,387.97","33,555.89","34,268.53","35,515.39","34,837.72","35,725.96","33,936.60","33,434.52","31,790.63"
500,746,"1,026.80","1,413.31","1,944.82","2,672.27","3,664.54","4,962.07","6,743.78","9,099.12","12,061.88","15,941.09","19,778.96","23,409.58","27,253.58","29,962.82","31,694.24","32,735.81","33,137.07","33,631.65","34,615.84","34,887.53","35,725.85","36,078.92","35,880.03","36,857.75","34,853.33","35,458.38","34,264.54","34,228.49","33,004.65","32,692.37"
501,746,"1,029.13","1,419.72","1,949.52","2,679.29","3,651.13","4,977.38","6,742.43","9,110.03","12,085.54","15,602.90","19,449.08","23,122.90","26,765.55","30,344.72","33,558.40","35,904.47","35,960.60","37,201.64","35,828.85","36,601.94","36,127.51","35,690.02","36,172.67","35,482.44","35,539.41","35,441.78","34,314.08","34,192.61","34,102.07","34,459.99"
502,746,"1,028.79","1,418.79","1,954.19","2,681.24","3,672.74","5,002.23","6,751.42","9,025.77","12,074.69","15,725.84","19,966.46","23,758.66","27,176.21","28,681.74","31,321.55","31,575.10","31,680.36","31,980.88","31,668.09","31,538.73","32,781.30","33,372.42","34,077.92","35,356.80","35,293.70","34,392.29","33,854.49","32,229.43","31,089.01","30,201.90"
503,746,"1,027.23","1,414.48","1,948.91","2,675.36","3,666.84","5,012.04","6,797.79","9,080.81","11,946.05","15,558.22","18,818.38","23,323.34","26,107.35","29,331.58","31,272.78","32,929.50","34,416.31","33,767.56","33,911.27","33,549.49","32,643.31","33,591.44","33,889.56","34,885.50","36,272.92","37,137.11","36,001.30","34,399.79","32,496.87","30,492.61"
504,746,"1,029.00","1,419.35","1,947.84","2,673.90","3,649.68","4,937.24","6,680.20","8,960.68","12,000.57","15,709.47","20,213.46","24,273.85","28,621.47","30,431.94","31,754.12","31,528.41","30,162.75","30,845.32","30,231.67","31,945.94","32,810.75","34,206.88","35,767.77","35,873.28","36,974.37","35,812.78","36,403.52","35,973.60","36,024.62","36,246.55"
505,746,"1,029.46","1,420.64","1,955.62","2,680.19","3,662.17","5,000.10","6,794.41","9,069.33","12,085.72","15,691.31","19,907.35","24,553.98","28,647.33","31,050.41","33,913.51","33,557.01","34,267.30","34,305.08","34,830.49","35,539.71","34,990.43","35,917.99","35,734.47","36,573.85","35,804.03","35,485.27","35,150.94","33,620.54","32,681.61","31,791.07"
506,746,"1,028.63","1,418.34","1,953.67","2,686.81","3,664.53","4,969.18","6,719.19","9,075.80","12,166.99","15,997.26","20,326.88","24,316.21","27,605.71","29,535.44","32,235.57","33,607.19","34,316.73","35,824.09","35,241.63","34,306.24","34,037.28","31,627.31","30,806.11","30,814.07","31,331.29","32,091.59","34,076.84","34,157.57","35,440.74","36,314.47"
507,746,"1,028.88","1,419.03","1,955.56","2,685.66","3,662.38","4,994.10","6,782.62","9,080.84","12,164.42","15,921.75","20,561.18","25,221.18","29,376.77","32,834.92","34,544.28","35,299.06","36,062.00","34,764.00","33,880.86","33,431.89","32,292.73","31,800.01","30,904.10","30,902.92","29,773.54","29,635.25","29,638.23","29,748.55","30,864.44","32,051.44"
508,746,"1,026.99","1,413.83","1,948.12","2,670.04","3,662.21","4,970.13","6,690.09","8,979.56","11,980.33","15,560.78","19,362.91","22,900.36","24,993.41","27,547.17","27,852.71","28,194.79","29,198.13","28,745.48","30,821.90","30,497.21","32,460.12","32,516.80","33,617.99","34,212.44","35,031.51","33,993.58","34,017.95","33,431.60","33,630.04","34,259.52"
509,746,"1,029.49","1,420.71","1,957.63","2,691.04","3,682.09","5,018.19","6,804.29","9,132.52","12,160.10","15,938.95","19,775.67","23,476.16","26,979.82","29,474.53","32,257.14","34,181.46","35,742.90","37,076.86","36,378.94","36,939.97","36,587.22","35,967.94","35,296.48","34,380.83","32,081.25","31,630.07","31,552.75","32,383.82","32,454.71","32,972.10"
510,746,"1,026.84","1,413.41","1,945.75","2,668.12","3,655.47","4,952.75","6,733.70","9,085.62","11,906.08","15,780.32","18,879.42","22,780.63","25,554.61","28,273.18","30,025.63","32,526.01","32,663.62","33,474.26","33,829.50","34,465.29","35,783.16","36,707.99","37,877.03","36,223.48","36,687.68","34,990.63","34,889.82","35,261.58","35,744.49","36,275.88"
511,746,"1,028.48","1,417.94","1,949.82","2,677.12","3,664.01","4,977.58","6,698.57","9,036.34","12,042.65","15,967.45","19,813.65","24,350.82","26,887.79","29,374.29","31,577.89","33,134.65","34,809.18","35,723.28","36,099.70","35,840.20","35,301.75","35,424.93","34,338.21","34,481.51","34,582.60","35,219.29","34,236.72","34,739.94","32,363.83","31,426.60"
512,746,"1,027.11","1,414.15","1,945.51","2,666.02","3,653.70","4,969.50","6,705.07","8,965.94","12,013.15","15,699.11","19,956.85","23,818.12","26,654.42","29,259.13","30,371.90","31,990.40","31,500.13","31,653.98","30,439.90","29,874.94","30,144.74","29,951.61","30,886.18","30,695.54","30,576.48","29,540.54","29,298.64","28,040.76","28,531.64","28,551.40"
513,746,"1,026.39","1,412.18","1,944.90","2,674.05","3,657.37","4,978.36","6,684.25","8,939.21","11,875.97","15,540.80","19,389.69","24,157.27","27,519.74","30,496.48","31,702.27","32,447.66","33,159.80","34,274.63","35,227.34","35,848.59","35,236.23","34,651.20","33,094.25","32,598.48","31,656.24","30,460.23","29,584.33","28,637.81","28,948.91","29,503.67"
514,746,"1,028.73","1,418.61","1,950.86","2,678.22","3,664.23","5,007.28","6,774.68","9,074.10","11,983.19","15,641.06","19,057.76","23,411.06","26,748.96","29,674.95","32,985.40","34,170.51","35,703.39","35,384.82","35,709.12","35,253.30","35,089.76","35,175.97","34,951.94","35,192.86","34,315.75","34,577.05","34,617.59","34,266.27","33,767.05","32,530.64"
515,746,"1,029.23","1,420.00","1,949.36","2,679.08","3,672.87","5,017.41","6,728.69","9,057.82","11,961.45","15,452.72","19,503.15","22,608.59","25,812.71","27,284.71","28,032.46","28,252.82","29,338.67","30,607.66","32,788.74","34,411.91","35,090.83","35,014.12","34,793.83","33,939.27","33,605.48","33,008.37","32,633.84","32,900.92","32,700.20","33,855.92"
516,746,"1,028.77","1,418.73","1,954.68","2,687.35","3,674.48","5,007.47","6,798.35","9,172.93","12,219.71","15,953.29","20,330.64","24,481.83","28,624.82","30,684.47","32,165.89","32,992.20","33,467.34","35,240.04","36,333.50","36,865.22","35,833.47","36,198.67","33,539.45","34,205.40","33,940.51","33,377.12","34,536.31","33,044.22","33,405.26","32,836.62"
517,746,"1,027.14","1,414.24","1,947.90","2,672.48","3,644.38","4,963.80","6,669.54","8,906.71","11,821.22","15,362.45","19,228.99","23,655.15","27,181.29","30,863.29","33,058.59","33,487.25","32,753.30","30,879.14","30,405.22","29,889.60","30,959.02","31,035.18","31,839.78","30,718.80","30,367.74","28,836.17","28,182.73","27,260.19","27,732.91","28,279.13"
518,746,"1,029.57","1,420.92","1,952.61","2,678.73","3,670.17","4,976.20","6,754.33","9,017.00","12,044.69","15,523.50","19,289.11","22,516.98","25,230.57","27,103.67","29,604.35","31,120.33","32,785.08","33,319.50","34,709.17","34,932.66","36,528.35","37,454.92","36,889.99","36,367.75","34,289.45","34,039.38","33,424.75","34,152.45","35,018.03","33,923.21"
519,746,"1,029.05","1,419.48","1,948.45","2,677.54","3,666.90","4,976.31","6,719.76","9,050.77","12,115.32","15,824.30","20,242.25","24,538.22","28,472.42","30,832.52","32,514.02","31,994.31","31,485.36","31,568.59","30,760.38","31,823.85","32,658.77","33,083.29","33,251.60","32,857.29","32,090.29","32,571.38","31,911.48","33,089.22","33,659.00","34,488.96"
520,746,"1,028.80","1,418.81","1,954.78","2,679.82","3,668.02","4,969.99","6,711.72","9,004.56","11,951.80","15,455.39","19,516.87","23,397.81","26,351.49","28,909.38","28,986.14","29,756.74","30,179.90","31,499.80","32,637.15","34,525.59","33,811.62","35,325.52","33,497.57","33,089.37","32,940.27","31,450.48","31,913.79","31,502.58","31,107.58","31,045.27"
521,746,"1,029.53","1,420.83","1,955.62","2,684.12","3,676.57","5,010.58","6,803.83","9,076.03","12,153.08","15,812.49","20,396.22","25,410.97","28,574.25","32,677.81","32,356.53","34,238.73","34,315.92","34,303.85","34,358.80","34,510.57","32,667.96","33,264.53","32,798.12","32,593.12","32,374.91","32,379.05","32,819.71","33,123.47","33,650.93","34,447.75"
522,746,"1,029.54","1,420.85","1,949.93","2,678.90","3,672.22","4,982.90","6,752.89","9,074.44","12,082.41","15,641.51","19,641.21","23,391.21","26,578.35","30,071.42","32,355.16","33,739.93","35,734.58","35,714.19","35,024.61","35,416.79","34,841.85","35,873.94","37,086.91","37,992.85","39,068.70","37,614.40","38,127.58","35,929.01","36,344.38","36,237.51"
523,746,"1,028.44","1,417.80","1,950.56","2,679.97","3,669.06","5,000.52","6,759.66","9,056.40","12,016.92","15,644.19","19,284.85","23,563.24","26,757.70","29,111.84","31,812.38","32,698.51","33,375.18","33,032.13","31,400.53","30,764.27","29,777.50","29,165.43","30,157.03","29,729.22","30,119.78","29,679.46","29,434.83","28,994.94","28,418.93","29,275.70"
524,746,"1,028.86","1,418.96","1,952.47","2,682.62","3,677.80","5,019.55","6,827.38","9,105.04","11,952.05","15,391.44","19,041.24","23,178.27","26,499.91","30,384.06","32,319.29","34,236.88","36,103.17","36,244.66","35,820.92","35,552.71","35,252.28","35,648.09","36,497.42","37,308.65","37,505.30","37,630.50","36,646.46","36,597.52","35,864.47","35,201.15"
525,746,"1,029.07","1,419.56","1,948.97","2,675.36","3,663.33","4,999.38","6,729.08","8,933.92","11,870.35","15,227.89","19,094.83","23,381.99","26,648.91","29,418.20","31,913.31","31,781.94","33,956.58","33,774.89","33,682.55","34,302.77","33,899.66","33,237.13","33,654.31","33,191.14","32,359.23","33,245.70","32,069.38","32,079.52","32,701.06","31,873.84"
526,746,"1,027.22","1,414.44","1,944.04","2,658.21","3,646.31","4,979.92","6,765.15","9,111.34","11,913.75","15,714.98","19,236.84","23,590.47","27,926.25","31,249.54","34,543.38","36,059.67","35,361.41","36,064.70","34,874.06","34,129.97","33,708.20","32,660.31","31,141.70","31,377.89","31,154.51","31,877.44","32,645.71","32,946.38","33,238.48","34,164.82"
527,746,"1,027.84","1,416.15","1,950.49","2,681.08","3,673.63","4,986.02","6,765.51","9,038.32","11,904.76","15,226.23","18,433.56","21,813.12","24,627.54","27,943.51","29,148.94","31,676.01","31,945.31","33,233.55","32,934.91","33,556.63","32,981.29","33,646.47","34,510.50","34,803.78","35,209.17","35,061.72","35,217.14","35,386.24","36,328.25","35,257.76"
528,746,"1,029.48","1,420.68","1,950.33","2,677.80","3,669.33","5,012.87","6,786.86","9,167.07","12,209.71","16,106.01","20,599.87","25,035.95","29,831.57","31,751.97","34,663.69","33,677.01","33,120.53","31,662.48","31,385.95","31,357.67","31,062.05","31,877.27","30,987.65","30,274.82","30,464.71","29,080.98","28,674.80","27,913.83","28,274.69","28,878.98"
529,746,"1,026.70","1,413.02","1,947.16","2,675.41","3,645.58","4,968.44","6,740.79","9,044.48","12,035.04","15,553.51","19,743.95","23,545.05","26,964.12","29,517.46","31,613.91","32,600.91","33,925.94","33,668.79","33,680.60","33,864.71","33,408.15","32,623.57","32,658.23","31,993.10","32,767.96","33,951.61","34,340.19","35,842.58","34,393.82","33,932.11"
530,746,"1,029.40","1,420.47","1,954.54","2,680.37","3,658.00","4,963.53","6,656.73","8,910.08","11,734.81","15,369.16","18,883.00","23,489.19","26,355.63","30,405.71","31,192.42","33,301.34","34,061.67","33,988.32","34,489.39","32,866.93","31,999.38","30,242.55","30,094.35","29,014.94","29,500.20","29,939.59","31,131.70","32,122.74","32,945.73","32,971.49"
531,746,"1,028.58","1,418.19","1,951.82","2,679.58","3,670.31","5,006.16","6,727.61","8,998.45","12,029.87","15,281.28","19,466.82","22,246.31","26,023.23","28,096.28","30,847.92","32,792.69","32,898.94","34,029.34","34,016.98","33,869.65","33,015.10","31,726.83","31,481.12","31,092.95","32,227.05","32,705.00","33,096.89","34,024.88","33,180.98","33,087.43"
532,746,"1,028.78","1,418.74","1,955.12","2,680.57","3,652.12","4,974.99","6,724.42","9,000.60","11,999.23","15,624.44","19,723.48","23,979.78","26,693.35","28,609.85","29,166.60","30,272.42","30,629.12","31,826.00","33,213.94","32,933.84","33,560.60","32,749.43","32,142.64","30,767.32","30,120.70","30,094.01","30,664.89","32,148.26","33,689.61","33,898.81"
533,746,"1,029.14","1,419.74","1,953.39","2,686.59","3,679.18","5,016.24","6,796.06","9,043.12","12,044.39","15,152.74","18,888.21","21,801.75","25,226.53","27,518.17","30,800.46","31,898.21","33,424.63","33,762.70","34,719.13","35,532.58","35,561.49","36,740.52","36,204.61","35,168.65","34,173.99","33,604.74","31,592.81","32,148.52","32,113.83","32,827.23"
534,746,"1,026.85","1,413.44","1,943.36","2,658.15","3,631.39","4,949.48","6,710.39","9,059.92","11,852.39","15,612.91","18,790.74","22,731.49","25,560.58","27,923.11","29,814.55","31,604.12","31,802.49","31,849.71","31,296.61","29,652.95","28,790.74","29,039.68","28,437.51","29,280.17","29,646.07","30,274.30","29,768.32","31,223.07","31,693.52","32,047.76"
535,746,"1,027.24","1,414.51","1,943.30","2,662.98","3,639.78","4,970.68","6,747.87","9,119.05","12,214.87","15,793.58","20,443.69","23,912.43","28,458.78","31,978.09","34,737.25","36,246.72","37,492.99","35,604.87","34,961.53","33,593.42","32,461.81","33,135.76","32,452.40","33,726.08","34,264.56","35,622.67","36,950.84","37,786.42","38,138.88","38,189.63"
536,746,"1,027.27","1,414.58","1,949.43","2,678.31","3,673.23","4,976.12","6,697.83","9,040.44","12,017.05","15,659.69","19,849.27","23,860.97","28,220.18","31,568.96","34,793.82","36,126.22","37,781.68","36,256.81","37,109.96","36,115.53","36,176.30","36,498.31","35,633.92","35,664.96","33,482.24","33,114.68","31,874.87","31,870.38","32,186.25","33,327.67"
537,746,"1,027.12","1,414.17","1,947.02","2,665.48","3,653.83","4,989.91","6,786.17","9,009.79","11,800.65","14,871.61","17,914.87","21,447.14","24,404.78","27,939.54","30,899.76","32,557.19","32,836.12","33,859.85","32,554.70","33,988.80","34,387.13","35,406.29","34,605.57","35,025.88","32,489.17","32,041.99","31,206.33","30,548.24","30,969.26","30,841.53"
538,746,"1,029.38","1,420.41","1,956.69","2,686.50","3,660.87","4,980.57","6,753.46","9,093.04","12,016.22","15,665.67","19,634.29","23,485.40","26,520.03","28,546.08","30,408.10","30,498.58","32,739.53","32,736.24","33,849.44","33,609.48","34,344.19","33,818.24","34,616.45","33,623.68","32,631.21","31,336.42","31,178.11","30,227.99","31,231.15","32,083.72"
539,746,"1,028.90","1,419.08","1,952.73","2,684.12","3,673.42","4,987.79","6,765.06","9,087.67","12,050.28","15,953.94","19,686.01","23,791.95","26,314.01","28,261.60","29,347.17","30,987.55","32,557.63","32,885.12","34,314.83","33,663.26","34,583.95","34,388.43","33,289.68","31,726.39","30,220.70","29,719.65","29,049.26","28,632.87","29,469.24","29,605.75"
540,746,"1,029.41","1,420.49","1,957.56","2,684.78","3,672.27","5,005.84","6,776.55","9,127.48","11,950.58","15,396.32","18,336.84","21,075.36","23,953.73","26,193.71","28,408.07","29,375.71","30,061.79","30,698.33","31,515.48","31,987.86","32,486.36","31,239.51","31,870.84","31,195.87","32,385.63","33,150.44","33,090.10","32,376.25","32,617.35","32,519.88"
541,746,"1,029.51","1,420.78","1,955.57","2,674.85","3,655.17","4,985.27","6,767.96","9,145.83","12,042.23","15,592.39","19,378.46","22,840.58","27,099.09","29,991.80","33,194.02","34,756.87","36,597.51","36,909.25","36,977.60","37,450.52","37,001.40","36,598.27","36,426.07","34,554.93","34,837.10","32,938.78","32,554.55","31,585.69","31,735.51","32,282.27"
542,746,"1,028.27","1,417.35","1,950.14","2,677.43","3,659.10","4,967.85","6,716.31","9,024.24","12,012.05","15,788.43","20,155.39","24,362.37","27,858.10","30,141.29","30,225.09","30,454.33","30,632.83","30,725.76","31,246.87","31,538.91","32,234.27","32,282.70","33,032.96","32,699.15","33,245.63","31,849.85","31,950.30","31,598.52","31,066.45","30,493.43"
543,746,"1,029.58","1,420.96","1,957.89","2,687.94","3,664.81","4,998.88","6,779.23","9,014.50","11,973.95","15,003.27","19,060.83","22,531.34","26,312.59","29,482.10","30,988.12","32,697.21","33,987.97","35,566.08","36,611.07","36,270.27","35,432.27","35,126.87","35,106.23","35,132.88","36,048.97","34,905.62","33,948.58","34,004.11","31,684.58","32,552.31"
544,746,"1,027.94","1,416.43","1,951.88","2,676.52","3,646.94","4,972.45","6,679.39","8,940.08","11,890.90","15,528.07","19,727.37","24,053.60","28,231.43","30,608.11","32,012.41","33,069.69","33,190.42","32,931.39","32,328.47","31,361.21","30,691.55","29,751.76","29,457.85","28,829.83","28,558.95","28,374.23","28,382.82","29,332.85","30,698.45","32,832.68"
545,746,"1,027.68","1,415.72","1,945.30","2,673.91","3,667.08","5,010.74","6,766.36","9,050.78","12,073.72","15,726.08","19,977.61","23,638.53","27,854.10","30,505.08","33,901.15","36,170.07","37,988.33","37,414.95","36,371.76","35,767.54","35,296.17","35,207.73","35,688.95","34,613.98","34,026.87","33,899.51","32,990.60","32,348.26","32,238.47","30,785.23"
